detail_id,feat_run_id,attr_name,attr_value
1,1,amount_of_sheets,2
2,2,cells_cleaned,4101
3,3,total_rows_appended,3121
4,4,final_pages,19
5,5,cells_counted,3184
6,9,percent_kept,37
7,11,total_rows_appended,2340
8,12,cells_filled,274
9,13,amount_of_sheets,3
10,15,total_rows_appended,1259
11,16,total_rows_appended,2704
12,17,final_pages,11
13,18,cells_cleaned,2902
14,21,cells_cleaned,2718
15,22,cells_cleaned,6213
16,23,percent_kept,78
17,24,cells_counted,1834
18,25,cells_counted,309
19,29,total_rows_appended,2501
20,30,cells_filled,88
21,31,percent_kept,70
22,36,total_rows_appended,410
23,37,final_pages,2
24,39,total_rows_appended,4732
25,40,cells_filled,250
26,42,cells_counted,1562
27,44,percent_kept,14
28,47,percent_kept,46
29,48,total_rows_appended,3202
30,49,final_pages,11
31,50,percent_kept,64
32,53,cells_cleaned,3500
33,55,cells_filled,402
34,56,percent_kept,55
35,58,amount_of_sheets,5
36,59,cells_counted,2959
37,61,cells_cleaned,2420
38,62,final_pages,5
39,63,final_pages,13
40,67,cells_cleaned,3537
41,68,cells_filled,81
42,70,final_pages,17
43,74,amount_of_sheets,5
44,75,final_pages,17
45,76,cells_filled,325
46,77,total_rows_appended,548
47,81,amount_of_sheets,2
48,82,cells_counted,188
49,83,cells_cleaned,6892
50,85,cells_counted,152
51,86,amount_of_sheets,2
52,87,percent_kept,34
53,95,total_rows_appended,1370
54,96,total_rows_appended,4056
55,97,amount_of_sheets,4
56,98,cells_counted,1928
57,100,cells_cleaned,1301
58,101,cells_filled,15
59,105,percent_kept,83
60,106,cells_filled,406
61,108,percent_kept,25
62,110,cells_cleaned,9487
63,112,percent_kept,18
64,114,total_rows_appended,1087
65,115,total_rows_appended,659
66,116,amount_of_sheets,5
67,117,final_pages,10
68,119,amount_of_sheets,5
69,120,cells_counted,2630
70,121,percent_kept,25
71,122,cells_filled,149
72,124,cells_cleaned,290
73,125,final_pages,12
74,129,total_rows_appended,2420
75,131,amount_of_sheets,3
76,132,cells_filled,192
77,137,cells_cleaned,100
78,141,cells_filled,333
79,147,final_pages,3
80,149,cells_cleaned,7098
81,151,final_pages,4
82,153,final_pages,6
83,154,cells_counted,3029
84,156,cells_cleaned,379
85,157,percent_kept,28
86,159,cells_filled,477
87,160,cells_cleaned,6206
