feat_run_id,sheet_id,feature_id,output_weight,run_status,run_start_date,run_end_date
1,4,2,4106,True,2025-02-20 00:00:00,2025-02-20 00:00:14.140000
2,44,5,4099,True,2024-03-04 00:00:00,2024-03-04 00:00:09.871000
3,34,4,1768,True,2023-07-16 00:00:00,2023-07-16 00:00:16.998000
4,55,7,3909,True,2021-03-07 00:00:00,2021-03-07 00:00:04.091000
5,15,12,2632,True,2022-05-23 00:00:00,2022-05-23 00:00:24.360000
6,108,11,4120,True,2025-09-04 00:00:00,2025-09-04 00:00:21.365000
7,13,10,392,True,2022-01-14 00:00:00,2022-01-14 00:00:13.813000
8,104,6,3639,True,2020-10-24 00:00:00,2020-10-24 00:00:07.933000
9,10,3,3712,True,2025-07-21 00:00:00,2025-07-21 00:00:18.355000
10,7,8,3771,True,2020-05-02 00:00:00,2020-05-02 00:00:24.621000
11,33,4,4325,True,2020-08-24 00:00:00,2020-08-24 00:00:14.206000
12,112,9,1396,True,2023-11-10 00:00:00,2023-11-10 00:00:17.810000
13,30,2,1412,True,2021-11-14 00:00:00,2021-11-14 00:00:21.413000
14,71,10,999,True,2024-01-05 00:00:00,2024-01-05 00:00:13.512000
15,5,4,1037,True,2024-10-29 00:00:00,2024-10-29 00:00:12.033000
16,75,4,1122,True,2020-08-07 00:00:00,2020-08-07 00:00:14.886000
17,26,7,4744,False,2025-07-24 00:00:00,2025-07-24 00:00:23.142000
18,99,5,363,True,2024-03-30 00:00:00,2024-03-30 00:00:24.618000
19,115,8,1470,True,2025-02-07 00:00:00,2025-02-07 00:00:14.567000
20,107,1,2484,True,2024-12-30 00:00:00,2024-12-30 00:00:10.268000
21,67,5,1662,True,2022-12-18 00:00:00,2022-12-18 00:00:10.834000
22,86,5,3907,True,2024-08-05 00:00:00,2024-08-05 00:00:05.506000
23,9,3,544,True,2021-10-22 00:00:00,2021-10-22 00:00:12.563000
24,4,12,2017,True,2021-06-21 00:00:00,2021-06-21 00:00:20.032000
